Province,District,Ward,Road,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Hồ Chí Minh,Thủ Đức,Phường Hiệp Bình Phước,Đường 12,68,,,Đông - Bắc,,3,4,6,Have certificate,,6.5
Hồ Chí Minh,Gò Vấp,Phường 9,Đường Phạm Văn Chiêu,43,,4,Đông - Nam,,3,3,3,Have certificate,Full,5.85
Hà Nội,Cầu Giấy,Phường Quan Hoa,Ngõ 132,32.8,4.5,6,,,5,,,Have certificate,,7.5
Bình Dương,Tân Uyên,Xã Vĩnh Tân,Dự án Sun Casa Central,168,,,,,2,4,4,,,5.2
Bình Dương,Tân Uyên,Phường Uyên Hưng,Dự án Hoàng Nam Uyên Hưng,72,17,36,,,2,2,2,Have certificate,,2
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,70,5,13,Tây - Nam,Tây - Nam,5,6,4,Sale contract,,8.5
Hưng Yên,Huyện Văn Giang,#N/A,Dự án The Crown - Vinhomes Ocean Park 3,75,5,13,Tây - Nam,Tây - Nam,5,5,4,Sale contract,,8.1
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,80,5,,,Đông - Nam,5,,,Sale contract,,9
Hà Nội,Thạch Thất,#N/A,Xã Lại Thượng,378,,,,,2,3,3,Have certificate,Full,7.8
Hưng Yên,Yên Mỹ,Xã Yên Phú,Dự án Sông Hồng Diamond City,88,5.5,11.5,Đông - Nam,Tây - Bắc,5,4,4,Have certificate,,6.5
Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phú Mỹ,54,5.8,3,Tây - Bắc,Tây - Bắc,4,6,6,Have certificate,Full,8.8
Hà Nội,Hoài Đức,Xã La Phù,Đường La Phù,36,3.8,2.2,Nam,,5,,,Have certificate,Basic,3.85
Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Khang,41,,3.5,,,5,4,4,Have certificate,Full,10
Hà Nội,Hà Đông,#N/A,Yên Nghĩa,35,,,,,4,3,3,Have certificate,Basic,2.9
Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,Dự án The Beverly - Vinhomes Grand Park,46,,30,Đông - Bắc,Đông - Bắc,,1,1,Sale contract,Basic,4.3
Hải Dương,Kinh Môn,Phường Minh Tân,Đường Quốc Lộ 17B,180,10,,,,4,3,3,Have certificate,Full,5.3
Hà Nội,Chương Mỹ,#N/A,Phụng Châu,38,,,,,3,3,3,Have certificate,Full,2.1
Hồ Chí Minh,Bình Thạnh,Phường 11,Đường Tăng Bạt Hổ,45,5,6,Bắc,Bắc,3,3,4,Have certificate,,5.95
Long An,Bến Lức,Xã An Thạnh,Dự án Waterpoint,90,6,,Nam,Nam,2,4,3,Sale contract,,3.2
Hưng Yên,Yên Mỹ,Xã Yên Phú,Dự án Sông Hồng Diamond City,88,5.5,17,Đông - Nam,Đông - Nam,5,4,4,Sale contract,,6.6
Bình Dương,Tân Uyên,Phường Tân Phước Khánh,Dự án The Standard,85,,,,,,4,5,Have certificate,,5.9
Hồ Chí Minh,Thủ Đức,Phường Tam Bình,Dự án Vạn Xuân Tam Bình,143.9,,,,,4,4,5,,,9.5
Hà Nội,Thường Tín,Thị trấn Thường Tín,Dự án Him Lam Thường Tín,81.3,,,,,5,,,,,9.7
Hưng Yên,Yên Mỹ,Xã Yên Phú,Dự án Sông Hồng Diamond City,88,,,,,4,,,Sale contract,,6.7
Hồ Chí Minh,Bình Thạnh,Phường 13,Hẻm 482/9,38,,,,,2,1,1,,,4.1
Hồ Chí Minh,Phú Nhuận,Phường 7,Đường Nhiêu Tứ,40,4.1,6,Tây - Nam,Tây - Nam,4,3,4,Have certificate,,7.7
Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,Đường Quốc Lộ 22,113,,,,,,,,Have certificate,,6.2
Kiên Giang,Rạch Giá,Phường An Hòa,Dự án Phú Cường,150,5,29,Tây,Tây,2,,,Sale contract,,4.9
Hồ Chí Minh,Bình Thạnh,Phường 5,Đường Nguyễn Trung Trực,69.1,4,4.5,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,10
Hồ Chí Minh,Quận 9,Phường Long Trường,Dự án Centana City Điền Phúc Thành,100,5,,Đông - Nam,,3,5,3,,,8.1
Hồ Chí Minh,Phú Nhuận,Phường 12,Đường Huỳnh Văn Bánh,30,,6,,,3,,,Have certificate,Full,7.15
Bình Dương,Tân Uyên,Phường Tân Phước Khánh,Dự án The Standard,85,,,,,3,4,4,Have certificate,,5.9
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,54,,,Tây - Bắc,,,,,,,8.15
Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Ngõ 401,52.7,7,3,,,5,6,,,Full,7.6
Hà Nội,Ba Đình,Phường Cống Vị,Đường Đào Tấn,73,5,,,,4,4,4,,,9.5
Hà Nội,Thường Tín,Thị trấn Thường Tín,Dự án Him Lam Thường Tín,80,,,,,,,,Have certificate,,10
Bình Thuận,Phan Thiết,Xã Tiến Thành,Dự án NovaWorld Phan Thiết,120,,,,,2,3,3,,,3.1
Hải Phòng,An Dương,Xã Lê Lợi,Dự án Itaewon An Dương,82.5,,15.5,Tây - Bắc,,4,4,3,,,5.71
Hà Nội,Đống Đa,Phường Trung Liệt,Ngõ 7,52,4,3,,,4,4,4,,,6.5
Hà Nội,Đống Đa,Phường Trung Liệt,Phố Thái Hà,45,6,3,,,4,4,4,Have certificate,,7.65
Bình Thuận,Phan Thiết,Xã Tiến Thành,Dự án NovaWorld Phan Thiết,200,10,13,Đông - Nam,Tây - Bắc,2,3,3,Sale contract,,5.6
Hà Nội,Mê Linh,Xã Thanh Lâm,Dự án HUD Me Linh Central,120,,,,,3,4,3,,,8.4
Hồ Chí Minh,Quận 12,Phường Hiệp Thành,240/,64,4,,,,3,4,3,Have certificate,,4.7
Hà Nội,Thanh Xuân,Phường Nhân Chính,Đường Nguyễn Trãi,50,3.7,3.5,,,5,7,6,Have certificate,,8.9
Hà Nội.,Nam Từ Liêm,Phường Đại Mỗ,Đường Quang Tiến,36,7,3,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,5.6
Phú Thọ,Thanh Thủy,Xã Đồng Trung,Dự án Vườn Vua Resort & Villas,368,,,,,,,,,,6.3
Hưng Yên,Yên Mỹ,Xã Yên Phú,Dự án Sông Hồng Diamond City,88,,,,,4,,,,,6.6
Hồ Chí Minh,Quận 8,Phường 7,Dự án Dream Home Palace,156,,,,,2,,,Sale contract,,7.8
Hà Nội.,Nam Từ Liêm,Thị trấn Cầu Diễn,Dự án Florence Mỹ Đình,99.4,4,,Đông - Bắc,Đông - Bắc,2,,2,Have certificate,Full,9.5
Hà Nội,Hà Đông,Phường Văn Quán,Đường Mỗ Lao,33,,,Tây - Nam,,5,,,Have certificate,Basic,4.95
Hà Nội,Hà Đông,Phường Kiến Hưng,Dự án Thanh Hà Mường Thanh,100,,,,,,,,,,7.5
Hà Nội,Hà Đông,Phường Yên Nghĩa,Đường Tố Hữu,34,,2,,,4,3,,,Full,2.9
Hồ Chí Minh,Quận 9,Phường Trường Thạnh,Dự án Đông Tăng Long,100,20,12,Bắc,Bắc,3,4,5,Have certificate,Basic,6.5
Hà Nam,Phủ Lý,Xã Tiên Hiệp,Dự án Sun Group Hà Nam,60,8,15,,,4,5,5,Have certificate,,4.5
Bà Rịa Vũng Tàu,Phú Mỹ,Phường Hắc Dịch,Dự án Phú Mỹ Estates,85,,,,,4,4,6,Have certificate,,4.2
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,62.5,5,,,,5,,,Have certificate,,7.5
Hà Nội,Thường Tín,Thị trấn Thường Tín,Dự án Him Lam Thường Tín,87,5,33,Đông - Nam,Tây - Bắc,5,5,5,Have certificate,,10
Hồ Chí Minh,Bình Chánh,Xã Vĩnh Lộc B,D16/22/ ấp 4b,56,5,5,Bắc,,,,,,,2.7
Long An,Bến Lức,Xã An Thạnh,Dự án Waterpoint,90,,,Bắc,,,3,,,,5.5
Hồ Chí Minh,Quận 8,Phường 14,Dự án D-Aqua,58,,,,,,,,Sale contract,Basic,4.61
Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Trung Kính,35,5,2,,,5,5,4,Have certificate,Full,6.85
Hồ Chí Minh,Gò Vấp,Phường 16,Hẻm 350,50.4,,5,,,3,4,4,Have certificate,Basic,3.75
Hồ Chí Minh,Tân Bình,Phường 13,Hẻm 36/ Bình Giã,54,,5,,,3,4,4,Have certificate,Full,4.3
Hồ Chí Minh,Phú Nhuận,Phường 1,HXH 330/,57.4,,,,,3,3,2,Have certificate,Basic,4.05
Hà Nội,Long Biên,Phường Bồ Đề,Số 9 ngõ 197,56,3.82,2.5,Đông - Nam,,5,6,5,Have certificate,Full,6.5
Long An,Cần Giuộc,Xã Mỹ Lộc,Đường Lộc Hậu,151,4,6,Tây,Tây,2,4,3,Have certificate,Full,3.2
Hồ Chí Minh,Bình Thạnh,Phường 5,Đường Nguyễn Thượng Hiền,51.75,4.5,6,Tây - Nam,Tây - Nam,4,4,5,Have certificate,,9.2
Hà Nội,Long Biên,Phường Bồ Đề,Đường Ái Mộ,27,4,10,,,5,4,5,Have certificate,Full,7.65
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Melosa Garden,115,,,,,,,,,Full,9.55
Hà Nội,Thường Tín,Thị trấn Thường Tín,Dự án Him Lam Thường Tín,81,,18.5,,,5,,,,,9.9
Bình Dương,Tân Uyên,Phường Tân Phước Khánh,Dự án The Standard,102.8,7,18,Đông - Nam,,2,4,4,,,5.6
Hưng Yên,Huyện Văn Giang,#N/A,Dự án The Empire - Vinhomes Ocean Park 2,48,,,,,,,,Have certificate,,5.8
Hồ Chí Minh,Tân Bình,#N/A,Phường 11,55,4.5,5,,,,,,,,6.8
Hồ Chí Minh,Bình Thạnh,Phường 6,Hẻm 47/,56.25,4.5,5,,,3,4,3,Have certificate,Basic,4.29
Hồ Chí Minh,Thủ Đức,Phường Hiệp Bình Chánh,30/2,65,,,,,2,3,3,,,4
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông A,Đường Lê Văn Quới,80,8,8,Nam,Nam,5,5,6,,,6.5
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,60,4,,Tây - Nam,Đông - Bắc,,,,Sale contract,,7
Hà Nội,Hoàng Mai,Phường Yên Sở,Phố Yên Duyên,33,3,2,Tây - Bắc,Tây - Bắc,5,3,4,Have certificate,Full,4.48
Hồ Chí Minh,Phú Nhuận,Phường 11,Đường Nguyễn Đình Chính,38,4.2,6,Đông - Bắc,Đông - Bắc,4,3,4,Have certificate,Full,6.78
Kiên Giang,Rạch Giá,#N/A,Dự án Phú Cường,150,5,38,Tây,Tây,,,,Sale contract,,4.9
Hồ Chí Minh,Quận 6,Phường 11,Dự án Ny'ah Bình Tây,42,,,,,3,2,,Have certificate,,6.5
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,60,,,,,,,,,,7
Hà Nội,Đống Đa,Phường Thổ Quan,Phố Khâm Thiên,30,3.4,3,,,6,4,5,,Full,5.65
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,78,6,13,Tây - Bắc,,5,,,,,9.8
Hồ Chí Minh,Quận 3,Phường 14,Đường Trần Quang Diệu,43.5,,2,Tây - Nam,Tây - Nam,4,3,4,Have certificate,Basic,6.2
Hồ Chí Minh,Quận 10,Phường 9,189/16,23.9,3.5,,,,2,2,2,,,4.2
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa,Đường Lê Trọng Tấn,78.7,4,,Đông - Nam,,,,,Have certificate,,5.5
Bình Dương,Tân Uyên,Phường Tân Hiệp,Đường 17,67.5,,,,,,,,,,2.18
Hồ Chí Minh,Tân Phú,Phường Tân Sơn Nhì,Đường Trương Vĩnh Ký,72,4,5,,,2,4,4,Have certificate,Full,6.7
Hà Nội,Chương Mỹ,Xã Phụng Châu,Đường Đê Mới,60,,3,,,4,4,3,Have certificate,Basic,2.65
Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Dự án PiCity High Park,200,,,,,2,3,3,,,10
Hà Nội,Hai Bà Trưng,Phường Đống Mác,Phố Lò Đúc,36,4,3,,,5,4,4,Have certificate,Basic,6
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Melosa Garden,100,,20,Nam,Nam,3,4,4,Have certificate,Full,8.49
Đắk Lắk.,Buôn Ma Thuột,Phường Tân An,Dự án Eco City Premia,120,6,30,,,4,,,Have certificate,,5.85
Hà Nội,Thanh Trì,#N/A,Xã Vĩnh Quỳnh,78,,,,,3,3,3,Have certificate,Full,5.8
Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,Đường Huỳnh Tấn Phát,132,4,8,,,2,3,2,,,7
Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Huỳnh Tấn Phát,102,,3,,,1,2,1,Have certificate,,6.8
Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,Đường Huỳnh Tấn Phát,101,7.1,2.5,,,3,4,3,Have certificate,,6.6
Hồ Chí Minh,Gò Vấp,Phường 11,Đường Số 8,81,8,8,Bắc,Bắc,1,1,1,,,5.8
Hà Nội,Hà Đông,Phường Dương Nội,Đường Ỷ La,35,,,,,5,4,3,Have certificate,,3.5
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Mega Ruby,75,5,24,,,3,3,3,Have certificate,Full,7.7
Hồ Chí Minh,Tân Phú,Phường Tân Quý,Đường Tân Kỳ Tân Quý,62,,,,,4,6,4,Have certificate,,6.9
Long An,Tân An,Phường 6,Dự án Lavilla Green City,100,15,20,,,3,,,Have certificate,,3.9
Hà Nội,Thanh Xuân,Phường Khương Đình,Ngõ 387,42,3.3,5,Nam,,4,5,4,Have certificate,Full,8.8
Hồ Chí Minh,Gò Vấp,Phường 9,Đường Nguyễn Văn Khối,143,5,6,,,4,4,4,Have certificate,Full,9.3
Bắc Ninh,Từ Sơn,Phường Phù Chẩn,Dự án Centa Riverside,180,9,40,Nam,Nam,3,5,4,Have certificate,Basic,9.7
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,75,5,17,,,5,,,Have certificate,Basic,8.6
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,78,6,,,,5,,,Have certificate,Basic,9.4
Hà Nội,Long Biên,#N/A,Phường Thạch Bàn,33,4.5,2.5,Nam,Nam,5,3,4,Have certificate,Full,4.15
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường Tả Thanh Oai,31,,,,,5,,,Have certificate,,2.9
Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Đường Huỳnh Tấn Phát,83.6,,,Tây,,4,4,5,Have certificate,,8.6
Hà Nội,Tây Hồ,Phường Nhật Tân,Số 7H/15/351,56,4.8,3,Đông - Nam,Đông - Nam,6,4,4,Have certificate,,5.3
Thanh Hóa.,Thanh Hóa,Phường Đông Vệ,Đường CSEDP,90,5,17.5,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,,3.85
Hà Nội,Hà Đông,Phường Quang Trung,Ngõ 18,55,4,5,,,5,6,5,Have certificate,Full,8.3
Hồ Chí Minh,Thủ Đức,Phường Bình Trưng Tây,Đường 5,50,9,,Nam,Nam,2,2,2,Have certificate,,3.9
Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Hiệp Thành 13,65,,8,,,4,4,5,,,4.2
Hà Nội,Hoàng Mai,#N/A,Phường Vĩnh Hưng,60,,,,,,,,Have certificate,,4.3
Khánh Hòa,Nha Trang,Xã Vĩnh Thái,Dự án KVG The Capella Nha Trang,100,5,15,Đông - Nam,Đông - Nam,3,3,4,Sale contract,,3.95
Hà Nội,Hà Đông,Phường Kiến Hưng,Dự án Thanh Hà Mường Thanh,33,,,,,,1,1,Sale contract,,1.4
Hà Nội,Thanh Trì,#N/A,Xã Vĩnh Quỳnh,60,,2,,,3,3,3,Have certificate,,4.7
Hà Nội,Long Biên,Phường Thạch Bàn,Đường Cổ Linh,70,,,,,5,5,4,,,6.9
Hồ Chí Minh,Quận 10,Phường 11,Hẻm 183,40,,5,Tây,,4,5,4,Have certificate,Full,9.1
Hà Nội,Long Biên,Phường Long Biên,Số 3/83 ngõ 61,40,,,Đông - Nam,,5,6,3,,,6.25
Hồ Chí Minh,Quận 6,Phường 10,Đường An Dương Vương,66,4,12,,,4,5,3,Have certificate,,8.95
Hà Nội,Cầu Giấy,Phường Nghĩa Đô,89,35,,,,,4,4,3,Have certificate,Full,6.25
Hồ Chí Minh,Tân Phú,Phường Tân Sơn Nhì,Đường Tân Kỳ Tân Quý,74,,,,,2,4,3,Have certificate,Full,6.83
Hồ Chí Minh,Quận 7,Phường Tân Hưng,Hẻm 701,45,,,,,2,2,2,Have certificate,,4.4
Hà Nội,Long Biên,#N/A,Phường Thạch Bàn,70,,,,,,,,Have certificate,Basic,6.8
Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,Dự án The Origami,45,,24,Đông - Nam,,,,,Sale contract,Basic,7
Bình Dương,Tân Uyên,Phường Tân Phước Khánh,Dự án The Standard,85,,18,Tây - Bắc,,2,4,4,Have certificate,,5.9
Hà Nội,Long Biên,Phường Thạch Bàn,Đường Phố Trạm,48,,2.5,,,4,5,,Have certificate,Basic,6.4
Hồ Chí Minh,Thủ Đức,#N/A,Phường Hiệp Bình Chánh,56.1,4.2,,,,4,4,3,Have certificate,,6.3
Hà Nội,Hoàng Mai,Phường Tương Mai,Đường Trương Định,40,,,,,5,,,,,7.48
Hà Nội,Hoài Đức,#N/A,Xã Đông La,36.5,3.6,4,,,6,3,4,Have certificate,Basic,4.1
Hà Nội,Long Biên,#N/A,Phường Thạch Bàn,36,,,,,4,,,Have certificate,,7.49
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông,Đường Trương Phước Phan,64,4,6,Tây,Tây,5,4,5,Have certificate,Basic,6.7
Hà Nội,Đống Đa,Phường Phương Liên,Số 43A ngõ 88,12,3,3,Đông - Bắc,Đông - Bắc,5,3,4,,,1.8
Long An,Bến Lức,Xã An Thạnh,Dự án Waterpoint,90,,,,,,3,2,Have certificate,,3.2
Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,Phố Cầu Cốc,53,4.3,22,Đông,Đông,5,6,5,Have certificate,Basic,6.39
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông,168/86// Đường Bình Trị Đông,96,5.5,,Đông - Nam,,2,5,5,Have certificate,Full,8.5
Hồ Chí Minh,Quận 10,Phường 14,Đường Tô Hiến Thành,31,6.2,6,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,6.8
Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Trãi,56,3.85,2.8,,,4,4,5,Have certificate,Full,8.5
Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,116.8,,,,,,3,2,Have certificate,,7.3
Hưng Yên.,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,56,5,13,Đông - Nam,Đông - Nam,5,,,,,7.6
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông A,Đường Mã Lò,64,4,6,,,5,6,6,Have certificate,Full,5.98
Đà Nẵng,Ngũ Hành Sơn,Phường Khuê Mỹ,Đường Bùi Tá Hán,65,5.5,7,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,4.7
Hồ Chí Minh,Tân Phú,Phường Tân Thành,Đường Gò Dầu,50,,,,,4,4,4,,,7
Thái Nguyên.,Phổ Yên,Phường Đồng Tiến,Dự án Tấn Đức Central Park,100,5,,,,,,,,,2.15
Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Đường Cầu Giấy,70,6.6,,,,,,,,,9.6
Hà Nội,Thanh Xuân,Phường Kim Giang,Five Star Kim Giang,55,5,3,,,5,4,5,Have certificate,Full,6.8
Hà Nội,Long Biên,Phường Thạch Bàn,Đường Thạch Bàn,37,4,,,,6,3,3,Have certificate,Full,5.6
Hà Nội,Long Biên,Phường Thạch Bàn,Đường Thạch Bàn,45,3.5,2,Đông - Nam,Đông - Bắc,4,4,3,Have certificate,Basic,4.95
Hà Nội,Long Biên,Phường Thạch Bàn,Đường Cổ Linh,30,6,2,Đông,Đông,6,3,4,Have certificate,Basic,4.6
Hải Phòng,Kiến An,Phường Đồng Hòa,Dự án Golden Point Đồng Hòa,67.5,,,,,4,4,4,Have certificate,,4.5
Bắc Ninh,Từ Sơn,Phường Phù Chẩn,Dự án Centa Riverside,180,9,15,,,3,,,Have certificate,,10
Hà Nội,Quận Long Biên,#N/A,Phường Bồ Đề,45,,,,,5,3,4,Have certificate,Full,5.7
Bắc Ninh,Từ Sơn,Phường Phù Chẩn,Dự án Centa Riverside,180,9,,Bắc,Đông - Bắc,3,5,6,Have certificate,,9.7
Hà Nội,Đông Anh,Xã Mai Lâm,Đường Mai Hiên,46.5,5,,,,3,3,,,,2.8
Hồ Chí Minh,Quận 12,#N/A,Phường Trung Mỹ Tây,68,4,5,,,1,3,3,Have certificate,,2.8
Quảng Trị,Thành phố Đông Hà,#N/A,Dự án Vincom Shophouse Royal Park Quảng Trị,120,,,,,,,,Have certificate,,7
Hồ Chí Minh,Nhà Bè,Xã Nhơn Đức,Đường 826C,40,,,Đông,Đông,2,2,2,Have certificate,,1.38
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,120,,,,,5,,,Have certificate,,8
Phú Thọ.,Việt Trì,Phường Minh Nông,Dự án Palm Manor Việt Trì,98,7,27,Nam,Đông - Nam,,,,Sale contract,Basic,6.9
Long An,Bến Lức,Xã Mỹ Yên,Dự án The Larita,80,,12,Tây,Tây,3,4,4,Have certificate,Full,1.5
Hà Nội,Hai Bà Trưng,Phường Đồng Tâm,Phố Đại La,32,,,,,5,3,4,Have certificate,Full,5.7
Hồ Chí Minh,Hóc Môn,#N/A,Xã Tân Hiệp,75,8,3,Đông - Nam,,1,3,1,Have certificate,Full,2.35
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Dragon Village,90,6,30,Tây - Nam,Tây - Nam,3,3,4,Have certificate,,5.8
