Province,District,Ward,Road,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Đồng Nai,Nhơn Trạch,Thị trấn Hiệp Phước,Dự án Spring Ville,100.0,,,,,,,,Have certificate,Basic,8.0
Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Mậu Lương,50.0,7.0,8.0,,,7.0,8.0,9.0,Have certificate,Full,6.5
Hà Nội,Long Biên,Phường Ngọc Thụy,Đường Ngọc Thụy,102.0,,,,,5.0,,,Have certificate,Full,9.85
Hà Nội,Hoàng Mai,Phường Vĩnh Hưng,Ngõ 37,45.0,,10.0,,,5.0,4.0,5.0,Have certificate,Full,8.2
Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Đường Đê La Thành,36.0,4.0,,,,4.0,4.0,4.0,Have certificate,Full,5.75
Long An,Bến Lức,Thị trấn Bến Lức,Đường Huỳnh Châu Sổ,258.0,,,Nam,,1.0,3.0,2.0,Have certificate,,6.5
Hà Nội,Nam Từ Liêm,Phường Đại Mỗ,Đường Đại Mỗ,46.0,3.1,2.0,Đông,Đông,4.0,4.0,3.0,Have certificate,Basic,4.75
Bình Dương,Thuận An,Phường Bình Chuẩn,Phú Hồng Khang - Phú Hồng Đạt,60.0,4.0,12.0,,,3.0,4.0,4.0,Have certificate,Full,3.7
Hồ Chí Minh,Tân Phú,Phường Sơn Kỳ,Hẻm 30 Phố Đỗ Nhuận,32.0,4.0,10.0,Nam,Nam,3.0,2.0,2.0,Have certificate,Full,4.65
Hà Nội,Long Biên,,Phường Thượng Thanh,33.0,,,,,5.0,4.0,4.0,Have certificate,Full,3.9
Hà Nội,Long Biên,Phường Việt Hưng,Phố Việt Hưng,40.0,4.0,10.0,,,3.0,3.0,,Have certificate,Basic,5.29
Hà Nội,Bắc Từ Liêm,Phường Thụy Phương,Đường Thụy Phương,60.0,5.6,3.0,,,3.0,5.0,5.0,Have certificate,Full,4.8
Hà Nội,Hoàng Mai,Phường Yên Sở,Đường Tam Trinh,36.0,4.0,4.0,,,5.0,4.0,4.0,Have certificate,Full,5.2
Hà Nội,Đống Đa,Phường Ngã Tư Sở,Đường Tây Sơn,56.0,,,,,4.0,4.0,,,Full,7.2
Hồ Chí Minh,Gò Vấp,Phường 15,Đường Lê Đức Thọ,44.0,4.0,3.5,,,2.0,2.0,2.0,,Full,3.4
Cần Thơ,Ninh Kiều,Phường An Khánh,Đường B9,64.0,4.0,,Tây - Nam,,2.0,3.0,2.0,,,3.6
Hải Phòng,Hồng Bàng,,Phường Trại Chuối,32.0,,,,,2.0,,,Have certificate,,1.6
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông A,Đường Mã Lò,92.0,4.0,,Đông,,,,,Have certificate,,8.9
Khánh Hòa,Nha Trang,Xã Vĩnh Thái,Mỹ Gia,100.0,,12.0,,,3.0,3.0,4.0,,,5.7
Hồ Chí Minh,Quận 6,Phường 2,Đường Lê Quang Sung,32.0,3.3,16.0,Bắc,Bắc,2.0,2.0,2.0,Have certificate,Full,8.6
Hà Nội,Hoàng Mai,,Dự án Ao Sào,45.0,6.9,6.0,,,6.0,3.0,3.0,Have certificate,Full,9.85
Hà Nam,Phủ Lý,Xã Tiên Hiệp,Dự án Sun Group Hà Nam,60.0,,,,,,,,Sale contract,,4.5
Hà Nội.,Nam Từ Liêm,Phường Đại Mỗ,Đường Tố Hữu,42.0,,,,,4.0,4.0,3.0,Have certificate,Full,5.6
Hồ Chí Minh,Tân Bình,Phường 8,Đường Đông Hồ,48.0,4.1,6.0,,,4.0,4.0,4.0,Have certificate,Full,6.9
Hồ Chí Minh,Nhà Bè,Thị trấn Nhà Bè,Dự án The Sun Residence,50.0,,8.0,,,3.0,4.0,5.0,Have certificate,,5.7
Hà Nội,Long Biên,Phường Gia Thụy,Ngõ 560,45.0,,,,,6.0,,,Have certificate,Full,8.8
Bình Dương,Bến Cát,Phường Chánh Phú Hòa,Dự án Ecolakes Mỹ Phước,300.0,12.0,8.0,Đông,Đông,2.0,4.0,5.0,Have certificate,,4.6
Long An,Bến Lức,Xã An Thạnh,Dự án Waterpoint,90.0,,12.0,,,2.0,4.0,3.0,,,3.19
Hồ Chí Minh,Thủ Đức,Phường Linh Tây,Đường 9,86.0,4.0,12.0,Đông - Bắc,,,1.0,1.0,Have certificate,,8.6
Đà Nẵng,Ngũ Hành Sơn,Phường Hòa Hải,Đường Sơn Thủy,125.0,5.0,,,,2.0,3.0,2.0,Have certificate,,5.3
Hồ Chí Minh,Thủ Đức,Phường Linh Xuân,Đường Quốc lộ 1K,65.0,,15.0,,,2.0,3.0,,Have certificate,Full,5.5
Hồ Chí Minh,Quận 12,Phường Tân Hưng Thuận,Đường Đông Hưng Thuận 42,105.0,5.0,,Đông - Bắc,,,1.0,1.0,Have certificate,,6.3
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông,Đường Chiến Lược,24.0,3.0,5.0,Nam,Nam,1.0,2.0,2.0,Have certificate,,2.75
Bình Dương,Dĩ An,,Phường Tân Đông Hiệp,60.4,4.66,6.0,Bắc,,,3.0,2.0,Have certificate,,2.65
Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,42.0,,,,,,,,Have certificate,,7.0
Hồ Chí Minh,Quận 9,,Phường Phước Long B,56.0,,8.0,,,3.0,2.0,2.0,Have certificate,Basic,5.9
Hà Nội,Thanh Xuân,Phường Khương Đình,Phố Hạ Đình,25.0,,,,,4.0,3.0,,Have certificate,Full,3.86
Hồ Chí Minh,Tân Phú,Phường Tân Thới Hòa,Đường Phan Anh,92.0,4.0,8.0,,,3.0,4.0,4.0,Have certificate,Basic,7.6
Hồ Chí Minh,Quận 12,,Phường Hiệp Thành,44.0,,6.0,,,3.0,4.0,4.0,Have certificate,,3.9
Đồng Nai,Biên Hòa,,Phường Trảng Dài,92.0,,,,,2.0,2.0,3.0,Have certificate,,4.1
Hồ Chí Minh,Phú Nhuận,Phường 7,Đường Nhiêu Tứ,40.0,6.0,,Nam,Nam,4.0,4.0,4.0,Have certificate,Full,8.5
Hồ Chí Minh,Quận 8,Phường 6,Dự án Phước Bình Home,70.0,5.0,32.0,Đông,Đông,5.0,6.0,5.0,Sale contract,,9.5
Hồ Chí Minh,Bình Thạnh,Phường 11,Đường Lê Quang Định,36.0,,,,,2.0,2.0,2.0,Have certificate,,3.75
Hồ Chí Minh,Bình Thạnh,Phường 13,Đường Nguyễn Xí,50.0,,5.0,,,4.0,3.0,3.0,Have certificate,,7.8
Hồ Chí Minh,Thủ Đức,Phường Linh Đông,Đường Linh Đông,100.0,5.0,,,,3.0,5.0,5.0,Have certificate,Full,6.8
Hà Nội,Thanh Xuân,Phường Khương Trung,Phố Vũ Tông Phan,70.0,4.5,,,,3.0,,,Have certificate,,8.2
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường 70,32.0,3.0,3.0,Tây,Tây,5.0,3.0,4.0,Have certificate,Basic,3.2
Hồ Chí Minh,Nhà Bè,Xã Phú Xuân,Đường Huỳnh Tấn Phát,83.6,5.0,8.0,,,3.0,4.0,5.0,Have certificate,Full,8.6
Hồ Chí Minh,Thủ Đức,Phường Hiệp Bình Chánh,Đường Hiệp Bình,60.0,4.0,6.0,,,4.0,4.0,4.0,Have certificate,Full,6.7
Hồ Chí Minh,Tân Phú,Phường Phú Thọ Hòa,Đường Nguyễn Sơn,91.6,,,,,2.0,2.0,1.0,Have certificate,Full,6.35
Hồ Chí Minh,Quận 3,Phường 4,11A,30.0,3.7,6.0,Tây - Nam,Tây - Nam,2.0,1.0,2.0,Have certificate,Full,5.6
Đà Nẵng,Hải Châu,Phường Thuận Phước,Đường Hải Hồ,54.5,3.5,3.0,Đông - Bắc,Đông - Bắc,2.0,2.0,2.0,Have certificate,,3.3
Bình Dương,Dĩ An,Phường An Bình,Đường An Bình,70.0,5.0,5.0,Tây - Bắc,Tây - Bắc,3.0,5.0,5.0,Have certificate,,5.1
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông B,Đường Vành Đai Trong,80.0,4.0,10.0,,,4.0,4.0,3.0,Have certificate,Full,9.99
Hồ Chí Minh,Tân Phú,Phường Tân Quý,Đường Dương Văn Dương,64.0,4.0,16.0,,,,,,Have certificate,Full,8.5
Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Đại Từ,40.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,Full,5.35
Quảng Nam,Hội An,Phường Minh An,Đường Nguyễn Phúc Tần,80.0,5.0,5.0,,,1.0,1.0,1.0,,,9.6
Hồ Chí Minh,Quận 8,Phường 3,Đường Âu Dương Lân,48.0,4.0,3.0,,,3.0,4.0,3.0,Have certificate,Basic,4.75
Đồng Nai,Biên Hòa,Phường Tân Phong,Đường Nguyễn Ái Quốc,192.0,8.0,4.5,Đông - Bắc,,,3.0,2.0,,,4.5
Hồ Chí Minh,Quận 6,Phường 11,Đường Nguyễn Văn Luông,50.0,4.0,,,,4.0,4.0,4.0,Have certificate,,6.5
Hồ Chí Minh,Bình Tân,Phường An Lạc,Dự án The Privia,73.96,,,,,,,1.0,Sale contract,,6.3
Hồ Chí Minh,Quận 8,Phường 3,Đường Âu Dương Lân,52.0,,,,,3.0,5.0,6.0,Have certificate,Basic,7.5
Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Khương Đình,30.0,,,,,4.0,3.0,4.0,,,4.8
Hồ Chí Minh,Tân Bình,Phường 12,Đường K300,107.8,7.7,10.0,,,4.0,5.0,4.0,Have certificate,Basic,8.9
Đà Nẵng,Cẩm Lệ,Phường Hòa Xuân,Đường Hồ Tỵ,100.0,5.0,5.5,Nam,Nam,3.0,3.0,3.0,Have certificate,Full,4.35
Bình Dương,Thủ Dầu Một,,Phường Phú Mỹ,102.5,,,,,2.0,3.0,3.0,,,3.15
Hà Nội,Long Biên,Phường Giang Biên,Đường Giang Biên,56.0,,,,,3.0,,,Have certificate,,9.8
Hồ Chí Minh,Quận 9,Phường Trường Thạnh,Đường Long Thuận,59.0,5.0,7.0,,,4.0,3.0,3.0,Have certificate,,4.2
Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Phố Trần Cung,30.0,4.0,,,,5.0,4.0,5.0,Have certificate,,6.3
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa B,Đường Số 6,64.1,4.0,,Tây,,3.0,4.0,5.0,Have certificate,,6.2
Hà Nội,Hà Đông,Phường La Khê,Đường Ngô Thì Nhậm,45.0,6.0,3.0,Tây - Bắc,Tây - Bắc,4.0,3.0,4.0,Have certificate,Full,8.4
Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Lạc Long Quân,35.0,3.3,,,,,,,Have certificate,Full,6.25
Đà Nẵng,Ngũ Hành Sơn,Phường Khuê Mỹ,Đường Nguyễn Đình Trân,90.0,,7.5,Nam,,3.0,3.0,1.0,Have certificate,,6.2
Hà Nội,Thanh Xuân,Phường Thanh Xuân Bắc,Đường Triều Khúc,33.0,3.2,5.0,,,4.0,3.0,3.0,Have certificate,,7.0
Hồ Chí Minh,Quận 7,Phường Tân Phong,Dự án Mỹ Phước,88.0,,,,,,,,Have certificate,,10.0
Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Hoàng Văn Thái,43.0,4.3,3.0,,,3.0,3.0,2.0,Have certificate,,5.5
Hà Nội,Cầu Giấy,Phường Dịch Vọng,Đường Dịch Vọng,62.0,,,,,5.0,6.0,4.0,Have certificate,Full,9.8
Hồ Chí Minh,Nhà Bè,Thị trấn Nhà Bè,Đường Đào Tông Nguyên,60.0,5.0,5.0,Đông - Bắc,Đông - Bắc,4.0,4.0,5.0,Have certificate,Full,6.4
Thanh Hóa,Thanh Hóa,,Ba Đình,106.0,,,,,3.0,9.0,,Have certificate,Full,4.5
Hồ Chí Minh,Bình Chánh,Xã Phạm Văn Hai,Đường Tỉnh Lộ 10,250.0,10.0,,,,,,,Have certificate,,4.2
Hà Nội,Tây Hồ,Phường Nhật Tân,Đường Âu Cơ,40.0,,,,,2.0,3.0,,Sale contract,Full,2.2
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Mega Village,90.0,8.0,,Đông - Nam,,3.0,4.0,4.0,,,8.6
Hà Nội,Nam Từ Liêm,Phường Phương Canh,Đường Trịnh Văn Bô,35.0,,,,,5.0,3.0,3.0,Have certificate,Basic,3.8
Hồ Chí Minh,Phú Nhuận,Phường 14,Đường Huỳnh Văn Bánh,69.0,,,,,5.0,6.0,5.0,Have certificate,Full,9.99
Khánh Hòa,Nha Trang,Phường Phước Tân,Đường Lạc Long Quân,55.0,8.0,4.0,Tây,Tây,1.0,1.0,1.0,Have certificate,Full,3.5
Hà Nội,Thanh Xuân,Phường Kim Giang,Ngõ 168,50.0,,2.0,Nam,,5.0,8.0,5.0,Have certificate,Full,8.6
Hà Nội,Đống Đa,,Phường Hàng Bột,22.0,,4.0,,,4.0,3.0,,Have certificate,Full,4.25
Đà Nẵng,Hải Châu,Phường Hải Châu I,Đường Bắc Đẩu,45.0,3.6,4.5,Đông - Nam,,3.0,3.0,3.0,Have certificate,Full,3.4
Hồ Chí Minh,Hóc Môn,Xã Thới Tam Thôn,Đường Thới Tam Thôn 6,130.0,8.0,4.0,,,3.0,3.0,2.0,Have certificate,Full,4.57
Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Số 28,100.0,4.0,10.0,Tây - Bắc,Tây - Bắc,,2.0,1.0,Have certificate,Basic,7.5
Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,Đường Hữu Hưng,88.0,4.0,,,,1.0,1.0,1.0,Have certificate,,6.6
Đà Nẵng,Thanh Khê,Phường Thạc Gián,Đường Nguyễn Tri Phương,66.0,5.4,3.0,,,1.0,2.0,2.0,Have certificate,Full,3.75
Đồng Nai,Biên Hòa,Phường Bửu Long,Đường Huỳnh Văn Nghệ,72.0,4.0,6.0,,,2.0,2.0,3.0,Have certificate,Basic,3.8
Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Võ Chí Công,31.0,3.4,,,,5.0,3.0,4.0,Have certificate,,5.59
Hà Nội,Long Biên,Phường Long Biên,Đường Phố Trạm,38.7,3.5,2.8,,,4.0,4.0,3.0,Have certificate,Full,6.15
Hà Nội,Thanh Trì,,Xã Hữu Hòa,35.0,,,,,5.0,,,,,3.6
Bình Dương,Huyện Phú Giáo,,Xã Vĩnh Hòa,339.0,5.0,6.0,Tây - Bắc,,2.0,2.0,2.0,,,2.1
Hồ Chí Minh,Quận 4,Phường 4,Đường Tôn Thất Thuyết,52.0,,,,,4.0,4.0,5.0,Have certificate,Full,5.0
Hà Nội,Đống Đa,Phường Trung Liệt,Phố Thái Thịnh,54.0,5.0,2.0,,,5.0,6.0,4.0,Have certificate,Full,8.1
Hồ Chí Minh,Tân Bình,Phường 14,Đường Nguyễn Hồng Đào,80.0,4.0,,,,3.0,6.0,6.0,Have certificate,Full,9.0
Đồng Nai,Nhơn Trạch,Xã Phước An,Dự án Detaco Nhơn Trạch,100.0,,17.0,,,2.0,2.0,2.0,Have certificate,Full,1.85
Bình Dương,Thủ Dầu Một,,Phường Hòa Phú,48.0,,,,,,,,,,1.9
Bình Dương,Thủ Dầu Một,,Phường Phú Thọ,50.0,8.0,3.5,,,,2.0,1.0,,,1.0
Hà Nội,Ba Đình,Phường Đội Cấn,Đường Đội Cấn,50.0,4.0,,,,5.0,,,Have certificate,,8.5
Hà Nội,Ba Đình,Phường Liễu Giai,Đường Văn Cao,40.0,3.6,3.2,,,5.0,3.0,4.0,Have certificate,Basic,8.0
Hồ Chí Minh,Nhà Bè,Xã Phước Kiển,Dự án Lavila Kiến Á - Nhà Bè,96.8,,40.0,,,3.0,4.0,4.0,Have certificate,,9.68
Hà Nội,Hoài Đức,Xã Kim Chung,Đường Lai Xá,45.0,,,,,4.0,,,Have certificate,,4.5
Bắc Ninh,Từ Sơn,Xã Phù Chẩn,Dự án Centa City,120.0,6.0,14.0,Bắc,,3.0,4.0,,Have certificate,,6.6
Hồ Chí Minh,Bình Tân,Phường Tân Tạo,Đường Lê Đình Cẩn,44.0,,5.0,,,2.0,2.0,2.0,Have certificate,Basic,3.2
Bình Dương,Thuận An,,Phường Vĩnh Phú,75.0,5.0,6.0,,,3.0,4.0,5.0,,,3.5
Hồ Chí Minh,Tân Bình,,Phường 3,54.0,,,,,3.0,5.0,,Have certificate,,7.19
Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,Đường Miêu Nha,30.0,6.3,4.5,Đông,Đông,5.0,3.0,4.0,,Basic,4.5
Bình Dương,Bến Cát,Phường Mỹ Phước,Dự án Happy Home,60.0,7.0,12.0,Đông - Bắc,Tây - Nam,1.0,2.0,1.0,Have certificate,Full,1.45
Hồ Chí Minh,Thủ Đức,Phường Tam Bình,Đường Tam Châu,99.4,30.0,5.0,Đông - Nam,Đông - Nam,1.0,2.0,2.0,Have certificate,Basic,4.7
Hồ Chí Minh,Quận 2,,Phường Bình Trưng Tây,61.5,,6.0,Tây - Bắc,,3.0,4.0,4.0,Have certificate,,5.5
Hồ Chí Minh,Gò Vấp,Phường 12,Đường Bùi Quang Là,53.0,,5.0,Tây - Bắc,,2.0,4.0,3.0,Have certificate,,4.35
Hà Nội,Thanh Xuân,Phường Khương Đình,Ngõ 271,91.0,5.0,,,,,,,Sale contract,,3.5
Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Bùi Xương Trạch,34.0,3.2,2.0,,,3.0,3.0,2.0,,Basic,2.65
Hà Nội,Long Biên,,Phường Cự Khối,38.0,,,,,,,,,Basic,4.5
Khánh Hòa,Nha Trang,Phường Phước Tiến,Đường Mạc Đĩnh Chi,63.4,4.4,,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Full,9.0
Long An,Đức Hòa,Mỹ Hạnh Nam,Khu dân cư Mỹ Hạnh Hoàng Gia,90.0,5.0,,,,,2.0,3.0,Have certificate,,2.35
Hà Nội,Hoàng Mai,Phường Định Công,Đường Trịnh Đình Cửu,32.4,4.5,7.0,,,4.0,3.0,4.0,Have certificate,Basic,8.5
Bình Dương,Tân Uyên,,Phường Thái Hòa,140.0,5.0,,,,,,,Have certificate,,3.85
Hồ Chí Minh,Gò Vấp,Phường 9,Đường Phạm Văn Chiêu,53.9,5.0,5.0,,,3.0,4.0,,Have certificate,Full,5.6
Lâm Đồng,Đà Lạt,Phường 4,Đường Ngô Thì Nhậm,142.0,6.95,5.0,Đông,,1.0,2.0,1.0,Have certificate,Basic,6.0
Đồng Nai,Biên Hòa,Phường Tân Hiệp,Đường Nguyễn Ái Quốc,160.0,8.0,,,,2.0,4.0,2.0,Have certificate,,6.3
Đồng Nai,Biên Hòa,Xã Long Hưng,Dự án Izumi City,143.5,6.0,11.0,Nam,Nam,2.0,4.0,4.0,,,7.3
Hồ Chí Minh,Quận 7,,Phường Bình Thuận,89.0,,6.0,,,,,,,,7.9
Bà Rịa Vũng Tàu,Vũng Tàu,Phường Nguyễn An Ninh,Đường Bình Giã,155.3,4.9,4.0,Đông - Nam,,,,,,,7.5
Quảng Trị,Thành phố Đông Hà,,Dự án Vincom Shophouse Royal Park Quảng Trị,75.0,6.0,50.0,Đông - Nam,Bắc,5.0,6.0,5.0,Have certificate,Full,5.01
Đà Nẵng,Thanh Khê,,Phường An Khê,80.0,,75.0,,,2.0,2.0,2.0,Have certificate,,4.2
Đồng Nai,Biên Hòa,Phường Tam Phước,Phố Phùng Hưng,86.2,5.0,15.0,,,2.0,3.0,2.0,Have certificate,Basic,2.8
Hà Nội,Hoàng Mai,Phường Giáp Bát,Đường Hoàng Mai,34.0,,,,,4.0,3.0,4.0,Have certificate,Full,5.2
Hồ Chí Minh,Thủ Đức,Phường Linh Xuân,Đường 13,100.0,5.0,8.0,,,2.0,2.0,3.0,Have certificate,Basic,5.28
Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,Đường Lê Văn Việt,72.0,4.4,,Nam,,3.0,4.0,3.0,Have certificate,,6.0
Đồng Nai,Nhơn Trạch,Xã Phú Hữu,2831,88.0,4.0,30.0,Bắc,Bắc,1.0,2.0,1.0,Have certificate,Basic,6.5
Hà Nội,Đống Đa,Phường Kim Liên,Phố Chùa Bộc,54.0,4.5,,,,5.0,6.0,,,,6.8
Đà Nẵng,Cẩm Lệ,Phường Hòa Xuân,Đường Hồ Trung Lượng,112.0,,7.5,,,3.0,3.0,4.0,,,7.5
Hồ Chí Minh,Quận 10,Phường 14,Đường Thành Thái,70.0,,,,,2.0,,,Have certificate,,8.8
Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Nguyễn Ngọc Vũ,55.0,5.0,,,,5.0,4.0,,Have certificate,,10.0
Hà Nội,Đống Đa,Phường Phương Mai,Phố Phương Mai,38.0,5.1,,Tây - Bắc,,6.0,4.0,,Have certificate,Basic,7.5
Hồ Chí Minh,Thủ Đức,Phường Linh Trung,Đường Hoàng Diệu 2,77.0,4.6,5.0,,,4.0,5.0,4.0,Have certificate,,9.2
Hà Nội,Bắc Từ Liêm,Phường Liên Mạc,đường Liên Mạc,30.0,3.0,2.0,Đông - Nam,Đông - Nam,4.0,3.0,3.0,Have certificate,Basic,2.75
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Dragon Village,160.0,,,,,3.0,5.0,3.0,Have certificate,,9.8
Hà Nội,Nam Từ Liêm,Phường Đại Mỗ,Đường Đại Mỗ,55.0,5.0,6.0,,,5.0,5.0,5.0,Have certificate,,9.0
Hồ Chí Minh,Thủ Đức,Phường Trường Thọ,Đường Số 4,87.1,,,,,3.0,4.0,4.0,Have certificate,Basic,7.0
Hồ Chí Minh,Quận 2,,Phường Thảo Điền,78.7,7.24,3.0,,,2.0,,,Have certificate,,9.8
Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Cầu Bươu,45.0,3.6,5.0,,,5.0,4.0,5.0,Have certificate,Full,6.6
Hồ Chí Minh,Quận 10,Phường 15,Đường Bắc Hải,20.0,5.0,5.0,,,4.0,3.0,3.0,Have certificate,Basic,4.95
Hồ Chí Minh,Gò Vấp,Phường 17,Đường Nguyễn Oanh,60.0,6.0,5.0,,,,,,Have certificate,Full,8.5
Hà Nội,Hoàng Mai,Phường Thanh Trì,Đường Ngũ Nhạc,30.0,4.0,3.0,,,4.0,4.0,4.0,Have certificate,Full,4.15
Thừa Thiên Huế,Huế,Phường Thủy Vân,Dự án Eco Garden Huế,80.0,,,,,3.0,3.0,3.0,Sale contract,,3.85
Hồ Chí Minh,Thủ Đức,Phường Linh Trung,Đường Linh Trung,52.0,4.0,6.0,,,3.0,3.0,2.0,Have certificate,,6.0
